RS,LR_Tr_Acc,LR_Te_Acc,LR_TN,LR_FN,LR_FP,LR_TP,LR_corr,SV_Tr_Acc,SV_Te_Acc,SV_TN,SV_FN,SV_FP,SV_TP,SV_corr,TR_Tr_Acc,TR_Te_Acc,TR_TN,TR_FN,TR_FP,TR_TP,TR_corr,KNN_Tr_Acc,KNN_Te_Acc,KNN_TN,KNN_FN,KNN_FP,KNN_TP,KNN_corr
34,0.847222222222222,0.777777777777777,5,1,3,9,0.777777777777778,0.875000000000000,0.777777777777777,5,1,3,9,0.777777777777778,0.916666666666666,0.666666666666666,5,1,3,9,0.777777777777778,0.875000000000000,0.777777777777777,5,1,3,9,0.777777777777778
35,0.847222222222222,0.833333333333333,5,1,2,10,0.833333333333333,0.847222222222222,0.833333333333333,5,1,2,10,0.833333333333333,0.888888888888888,0.611111111111111,5,1,2,10,0.833333333333333,0.847222222222222,0.833333333333333,4,0,3,11,0.833333333333333
36,0.819444444444444,0.888888888888888,3,0,2,11,0.875000000000000,0.833333333333333,0.888888888888888,4,1,1,12,0.888888888888889,0.875000000000000,0.833333333333333,4,1,1,12,0.888888888888889,0.847222222222222,0.833333333333333,4,2,1,11,0.833333333333333
37,0.805555555555555,1.000000000000000,4,0,0,14,1.000000000000000,0.805555555555555,1.000000000000000,4,0,0,14,1.000000000000000,0.875000000000000,0.666666666666666,4,0,0,14,1.000000000000000,0.805555555555555,1.000000000000000,4,0,0,14,1.000000000000000
38,0.833333333333333,0.777777777777777,3,0,4,11,0.777777777777778,0.875000000000000,0.777777777777777,4,1,3,10,0.777777777777778,0.902777777777777,0.833333333333333,4,1,3,10,0.777777777777778,0.861111111111111,0.833333333333333,4,0,3,11,0.833333333333333
39,0.847222222222222,0.777777777777777,3,1,3,11,0.777777777777778,0.875000000000000,0.777777777777777,3,1,3,11,0.777777777777778,0.902777777777777,0.666666666666666,3,1,3,11,0.777777777777778,0.847222222222222,0.777777777777777,2,0,4,12,0.777777777777778
40,0.847222222222222,0.722222222222222,2,0,5,11,0.722222222222222,0.833333333333333,0.888888888888888,5,0,2,11,0.888888888888889,0.888888888888888,0.611111111111111,5,0,2,11,0.888888888888889,0.861111111111111,0.777777777777777,3,0,4,11,0.777777777777778
41,0.847222222222222,0.777777777777777,3,1,3,11,0.777777777777778,0.847222222222222,0.833333333333333,4,1,2,11,0.833333333333333,0.888888888888888,0.777777777777777,4,1,2,11,0.833333333333333,0.861111111111111,0.833333333333333,4,1,2,11,0.833333333333333
42,0.819444444444444,0.944444444444444,3,0,1,14,0.944444444444444,0.833333333333333,0.888888888888888,3,1,1,13,0.888888888888889,0.861111111111111,0.888888888888888,3,1,1,13,0.888888888888889,0.861111111111111,0.944444444444444,3,0,1,14,0.944444444444444
43,0.847222222222222,0.833333333333333,5,0,3,10,0.833333333333333,0.833333333333333,0.833333333333333,5,0,3,10,0.833333333333333,0.888888888888888,0.833333333333333,5,0,3,10,0.833333333333333,0.847222222222222,0.833333333333333,5,0,3,10,0.833333333333333
44,0.875000000000000,0.777777777777777,2,2,2,12,0.777777777777778,0.875000000000000,0.777777777777777,2,2,2,12,0.777777777777778,0.902777777777777,0.833333333333333,2,2,2,12,0.777777777777778,0.875000000000000,0.777777777777777,2,2,2,12,0.777777777777778
